id,Category,_Term,Description
718,Lexicon,THIRD-F,Faith. AKA: 3F.
719,Lexicon,THOUGHTS AND PRAYERS,An expression of love and Faith-inspired empathy for a fellow human being. Abbr: TAP.
720,Lexicon,TIP,Short for The Iron Project.
721,Lexicon,TOTAL BOWEL QUIVER,"An Exercise so difficult that a man kinda loses his . . .well, you get the picture. Abbr: TBQ."
722,Lexicon,Touching wood,"The moment you wander away from a Beatdown to lean on a tree, or bush, to relieve yourself on"
723,Lexicon,TOXIC,A Member whose Mission is misaligned with that of their Group.
724,Lexicon,TPG,Short for Train Past Game.
725,Lexicon,TRAIN PAST GAME,Working to a higher standard in preparation for an Event than the Event will require. Abbr: TPG.
726,Lexicon,Tramp Stamp,Rash that develops on the tail bone doing excessive Big Boy Sit-ups on asphalt
727,Lexicon,TRAP HOUSE PIONEER,A guy who lives in a bad neighborhood to prove a point.
728,Lexicon,TRILL,A something that is true + real.
729,Lexicon,TRIPLE CLAPS,"Three short explosive claps, executed in sincere admiration for someone or something. Usually performed Emotionally. Abbr: TClaps."
730,Lexicon,TRN,Short for The Ruckership Network.
731,Lexicon,TRUEBADOUR,A PAX who travels to other Workouts spread the Truth.
732,Lexicon,TRUST,Reliance between Team Members. (Q3.3).
733,Lexicon,Trust fund Baby,A PAX who shows up to Hump Day Happy Hour (HDHH) without doing scheduled work out when set prior to work out. This person gets the beers without earning the and gets ridiculed.
734,Lexicon,TRUTH,A transcendent fundamental or spiritual reality.
735,Lexicon,TRUTH NUGGET,"A smallish chunk of Truth baked into a breading of humor, exaggeration and/or innuendo to make it palatable, interesting and/or memorable."
736,Lexicon,Tubesteaked,"When the M says she is ""waiting"" on you at home after a post causing PAX member to speed excessively on the way home only to arrive to an empty house. Normally happens on April 1st."
737,Lexicon,TURKEY PUNCH,To provide a spiritual or emotional catylist to another PAX through positive Influence.
738,Lexicon,TWELVE,The leading edge of a Team’s Movement.
739,Lexicon,UA,Short for Unexcused Absence.
740,Lexicon,UBU,Proclamation of one’s acceptance of another man’s choices.
741,Lexicon,ULP,Short for Ultimate Life Problem.
742,Lexicon,ULTIMATE LIFE PROBLEM,. The Problem each person was uniquely born to solve. Abbr: ULP.
743,Lexicon,ULTIMATE PURPOSE,Movement toward the Solution to a HIM’s ULP.
744,Lexicon,UNEXCUSED ABSENCE,A man’s unmitigated failure to Post to a Workout or other Event for which he HC’d. Abbr: UA.
745,Lexicon,VAPE,"Acronym for the four F3 Leadership Skills: Vision, Articulation, Persuasion and Exhortation."
746,Lexicon,VIRGIN-Q,A man’s first Q of an F3 Workout. Abbr: VQ.
747,Lexicon,VIRTUE,A Standard of moral excellence.
748,Lexicon,VIRTUE CREDITS,The Goo-based idea that a man can offset the damage he does to his Group with self-defined acts of Virtue.
749,Lexicon,VIRTUOUS LEADER,An Effective Leader who also possesses the Leadership Virtues. (Q3.2).
750,Lexicon,VISION,Recognizing Advantage and the Movement required to acheive it. (Q3.4).
751,Lexicon,VQ,Short for Virgin-Q.
752,Lexicon,WAR BABY,The youngest man at an Event.
753,Lexicon,WAR DADDY,The oldest man at an Event.
754,Lexicon,WAS-NOW,"A story of change through IMPACT. There I WAS, then this happened, and here I am NOW."
755,Lexicon,WAYPOINT,A stepping stone on the path to Advantage.
756,Lexicon,WBD,Short for Wierdest Backblast of the Day.
757,Lexicon,WEASEL SHAKER,The Member of a Team whose Dolphin is spreadsheeting.
758,Lexicon,WEINKE,A written list of the Exercises a Q intends to call at a Workout.
759,Lexicon,WHAT-WHAT,The two questions of Faith: WHAT happens when I die? WHAT does that mean about the way I should live?
760,Lexicon,WHETSTONE,The vertical relationship between men. (Q1.8).
761,Lexicon,WHIPPET,"A man whose head is abnormally small and/or disturbingly narrow, like a chicklet with a face painted on it. A Whippet with insufficient body fat is often referred to as a Shivering Whippet."
762,Lexicon,WHIRLEY BOY,Moving in a totally random manner in lieu of performing the actual exercise called. The PAX performing the WhirleyBoy usually refers to it as modifying. This is usually done by wildly waving arms about or performing high knees while standing still and grunting as if exerting oneself to an extreme. (Did you see the WhirleyBoy in the CoP? Those were some funny looking LBCs!)
763,Lexicon,WHISKEY KNEE,A post-weekend affliction leading to a prolonged UA. AKA: Irish Tax.
764,Lexicon,WHISKEY-DICKING,Tentative execution of a Task.
765,Lexicon,WHO-DOES,"The premise that while no man is fully satisfied by WHO he is, every man DOES exactly what he wants to do."
766,Lexicon,WIB,Short for Workout In A Bag.
767,Lexicon,WIERDEST BACKBLAST of the DAY,A completely subjective determination by The Nation that a particular Backblast is (well) really wierd (which is a good thing actually). Abbr: WBD.
768,Lexicon,WISDOM,Practical insight with spiritual implications.
769,Lexicon,WON’T YOU HELP,A request for material assistance. Abbr: WYH.
770,Lexicon,WORKOUT,An F3 exercise Event.
771,Lexicon,WORKOUT CARDIGAN,Any old-mannish and inappropriate piece of gear worn to a Workout by a PAX who should know better.
772,Lexicon,WORKOUT IN A BAG,A predetermined set of Exercises done by the PAX at their own pace and without cadence. Abbr: WIB.
774,Lexicon,WY________,Won’t You (fill in verb here as necessary to make point).
775,Lexicon,YARIS,A smallish vehicle driven to exude a Commitment to conserving Dead Dinosaurs.
776,Lexicon,YATF,Short for Yelling At The Fox.
777,Lexicon,YELLING AT THE FOX,Life led in reaction to things that one cannot Influcence (like Fox News). Abbr: YATF.
778,Lexicon,YHC,Short for Your Humble Correspondent.
779,Lexicon,YOUR HUMBLE CORRESPONDENT,A margininally acceptable way to refer to oneself in the third person. Abbr: YHC.
780,Lexicon,YOUR OWN WORST ENEMY,What every man becomes without the DRP. Abbr: YOWE.
781,Lexicon,YOWE,Short for Your Own Worst Enemy.
782,Lexicon,ZEAL,The determination required to Lead Effectively.
783,Lexicon,Zebra,Something or someone that is unique and good.
784,Lexicon,ZUCKERING,Building a fancy house without a foundation.
785,Exicon,1,Sit ups
786,Exicon,20,25
787,Exicon,7220,"Conceived based on the elevation of Laramie, WY (7220 feet ASL), PAX locate near bottom of short hill or berm (about a 30% incline for 10 yards distance is ideal).  Start at bottom with 7 Merkins, bear crawl to top of berm, 2 Burpees, bear crawl forward or backward back down, 20 squats.  Rinse and repeat based on Q's desire.  5X is respectable.  #mumblechatter erupts beyond that."
788,Exicon,"""ab roll.""  term derived from the fact that as you complete the set, you slowly roll from your left side, over to your right side while burning the abs.  an excellent WOR or 6MOM exercise.","series of 5 ab exercises ""rolled"" into one big set.  25 left side cindy crawfords immediately followed by 25 left leg on right knee pretzel crunches immediately followed by 25 LBCs immediately followed by 25 right leg on left knee pretzel crunches immediately followed by 25 right side cindy crawfords."
790,Exicon,1st & 10,"100 yard field marked at 10 yard increments. Perform 10 Merkins, 1 Burpee (11’s) at the 10, sprint the remaining 90 yards. Recover jog back to the 20. Perform 9 Merkins, 2 Burpees, sprint the remaining 80 yards, recover jog to the 30. Repeat until all 100 yards and 11’s have been completed. Plank/core exercise until remaining PAX complete."
791,Exicon,21s,In unison PAX does 2-count side straddle hop and counts reps 1-5 out loud. Reps 6-21 are all mental and everyone must stop together at 21. If anyone stops early or goes over Q has PAX perform penalty workout of Q’s choice.
792,Exicon,4 Ladies of Ab-pocalypse,"MOTHER OF MARY!!!  A high intensity routine that will crush cores.  Perfect for post holiday gloom especially when coupled with a run. 1) Rossana (to song by Toto): side plank. switch sides when Rossana’s name is said (go to center plank during synth and piano solos). 2) Black Betty (to song by Ram Jam): American Hammer to beat until.  Crunchy frog everytime they say ""Black Betty"". 3) Jolene (to the song by Dolly Parton): Tin Soldiers to beat.  Merkin every time they say Jolene.  4) Rhonda (to song by The Beach Boys): flutter kicks to beat, V-up every time they say Rhonda.  ***extra credit - Sloop John B (to the song by The Beach Boys): LBC’s to the beat w/ a BBSU every time they say the word ""home"""
793,Exicon,4 x 4s,"Start with arms raised in a standing position, burpee into plank followed by four Merkins followed by four mountain climbers with each leg. ""One"" is completed when returning to the standing position with arms raised. Wash, rinse, repeat. Recommended to do OYO while waiting for the 6 or waiting for a partner during a group exercise."
794,Exicon,5 Alive,"A deceptively progressive beat down that will leave you feeling the burn! It starts by picking a route to run with regular stopping intervals along the way, we use light poles about 75 ft apart. You progressively add on 1 rep of 1 exercise at each light pole. There are 5 exercises and you add on 5 reps of each, hence the name! At the first stop, you complete 1 burpee, stop 2 = 2 burpees up to stop 5 and 5 burpees. At stop 6, you complete 5 burpees and 1 merkin and progress until at stop 10 you do 5 burpees and 5 merkins. At stop 11 you add in star jumps, at stop 16 you add in dive bombers, and at stop 21 you add in squats and finish at stop 25 with 5 burpees, 5 Merkins, 5 Star Jumps, 5 Dive Bombers, and 5 Squats for a total rep count of 115 burpees, 90 Merkins, 65 Star Jumps, 40 Dive Bombers, and 15 Squats and a little over a mile run!"
795,Exicon,6 Pack for Abs,"1 Round  = WW1, LBC, 2count Freddie Mercury, 2 count Flutter Kicks--- Rounds of 50 reps each, then 40, 30, 20, 10 for 600 total reps. Takes 14-17 minutes for average PAX"
796,Exicon,7 of Diamonds,"Performed on a large diamond (i.e. a square); we use the outside of a baseball field, but any large area will work. For the first round, do 7 reps of an exercise (burpees) at each of the 4 corners with a mosey (or sprint) in between corners. Each round, increase by 7 reps with a different exercise each round, for a total of 4 rounds. Round 2, 14 four count flutter kicks at each of the 4 corners. Round 3, 21 merkins at each of the 4 corners. Round 4, 28 squats at each of the 4 corners. If time allows, continue for a total of 7 rounds, decreasing the reps by 7 for each of the last 3 rounds with exercises of the Q's choice. We will do some rounds on your own, then wait for the six each round; and some rounds we do as a group. Q's choice."
797,Exicon,"90's, The","PAX do AMRAP of an exercise for 90 seconds, with a 20-30 second recovery period. Rinse and repeat with different exercises, as many times as desired. The entire routine should be set to 90s music (any genre(s)). The flannel is optional, the angst is not."
798,Exicon,Ab Roll,A five-in-one exercise performed on your six.  Can be done with any number of reps.  Begin with left side Cindy Crawfords. Go immediately into Pretzel Crunch with left leg up on right knee. Go immediately into LBCs.  Go immediately into Pretzel Crunch with right leg up on left knee. Finish with right side Cindy Crawfords completing the roll from your left side to your right side.  Ab Roll
799,Exicon,Abe Vigoda,"A variation on the Windmill, which is peformed much more slowly and with more stretching (aka “Old Man Style”). Usually peformed in Warm-a-rama."
800,Exicon,Absolution,"Combination of a Groiner, Mahktar N' Diayes, and Chilly Jack, done on an 8-count cadence. An awesome core and upper body workout that is both the solution to flabby abs, and a reason to beg absolution for your sins. Start in plank position and perform a single Groiner (cadence ""1"" jump feet forward, ""2"" jump feet back), then Mahktar N' Diayes to Chillcut position (cadence ""3"" & ""4"" with drop to each elbow), then Chilly Jack (cadence ""5"" feet out, ""6"" feet together), and finally Mahktar N' Diayes to plank starting position (cadence ""7"" and ""ONE, TWO, etc."" with rise on each hand). Best done in mulch, dirt or at edge of grass and asphalt/concrete so hands/elbows can be on grass while feet have traction. Also works well in parking lot conveyer belts when PAX are provided with small squares of cardboard left at Absolution station to protect elbows. Smart Q's will introduce this with the cadence, but then instruct PAX to do sets of 15-30 OYO (as the Q will suffer too and should avoid giving the impression of weakness to the PAX, lest he suffer insufferable mumble chatter)."
801,Exicon,Abyss Merkin,"Perform merkins on two parallel benches, right hand and foot on one bench, and left hand and foot on the other bench, letting your body lower into the space between the benches as far a possible. Works best if done slowly, holding at the lowest point and imagining a bottomless abyss below you."
802,Exicon,Agassis,"Tennis court suicide drills. (Agassi has had many comebacks, aye.)"
803,Exicon,Aiken Legs,"Done in succession with no rest -- 20 Squats, 20 Box Jumps, 20 Lunges (10 each leg), 20 Split Jacks (10 each leg forward). Rinse and Repeated as many times as you can."
804,Exicon,Air Drama,"A continuation of the Johnny Drama, adding an Air (Bodyweight) Squat. Begin from a standing position, move hips back and lower the torso to ""sit"" as deeply as possible while maintaining an upright position, upon returning to a full standing position, execute a calf raise. Can also be done as a negative calf raise by standing on a stair or curb."
805,Exicon,Air Squared,Air chair (People’s Chair without the wall) combined with air claps in cadence.
806,Exicon,AK-47s,"Inspired by the ruggedness of it's namesake that can be thrown in mud, dirty, and water, and still work.  Start laying down, do 3 hollow body rocks (start on back, roll to your front, always keeping head, arms, and legs of the ground, like rolling in the mud), push to plank on the last, then ""check the action"" with a 3-count of shoulder taps, then ""fire""with 3 jumps (legs forward into crouch, hands don't move) Rinse and repeat for as many Pax as there are (use a multiplier if there's 3 or less)"
807,Exicon,Al Gore,Pretend to hug a tree from the squat position. Hold until the Q says to stop. Sometimes used to wait for all PAX to complete another exercise instead of planking.
808,Exicon,Al Gore’s World Tour,"PAX hold Al Gore while one PAX takes a lap around area of Q’s choice. Large parking lot or track. About a 1/4 mile to 1/2 mile is a good distance. Each PAX takes a lap, so the more you have, the more moaning and groaning and general dislike you have for Al Gore."
809,Exicon,Alabama Ass-Kickers,"aka Ass-kickers. Down on all fours, kick each leg individually up and back. 4-count on each leg - 1 up, 2 extend, 3 back to up position, 4 down."
810,Exicon,ALARM,"A-L-A-R-M (Similar to B.O.M.B.S. except these stand for Arm, Leg, Abs, ‘R’ Exercise, ‘M’ Exercise): An exercise group of movements performed in successive fashion without rest; generally these are performed in multiples (e.g. ALARM 1 = Shoulder Press, Lunge, LBC, Run, Merkin; ALARM 2 = Shoulder Taps, Squat Jumps, Peter Parkers, Ranger Merkins, Makhtar N’Diayes, ALARM 3 = Burpees, Jump Squat, Mountain Climbers, Rockette Hillbillies, Pattycake Merkins)"
811,Exicon,Alarm Clock,"lie on ground- back of head and heels touching ground.  Get up (as quickly as possible). Hop up.  Rinse, repeat."
812,Exicon,ALBATROSS WINGS,"Start with 20 x Forward Arm Circles, hold, 20 x Backwards Arm Circles, hold, 20 x seal claps, hold, 20 x overhead claps. Everything is on a 4-count. Bat Wings w/the following added: Moroccan Night Club, Cherry Pickers, Mike Tyson’s, Chinooks, Front Raises, Overhead Press, Albatross (flapping wings), and finish with 45 degree angle hold."
813,Exicon,All About The Benjamins,"Similar to 11's, however each part equals 100, that's why ""the Benjamins"".  This is OYO and the Q can use the exercises of choice, but the suggested exercises are with a coupon, 25 Curls for the Girls,  25 Walking Lunges, 25 Squats, 25 Walking Lunges back to your coupon, 25 Overhead Press, 25 Walking Lunges, 25 Mountain Climbers, 25 Walking Lunges back.  Depending on the mood of the Q, he could make the PAX lunge walk with their coupon or not, but at the end that's 100 reps on the exercises, and 100 lunges."
814,Exicon,Alligator Merkin,"Walking Merkin. Alternate stepping hands forward on successive merkin reps. You know...like an alligator walks, but with merkins."
815,Exicon,Alphabet - the Hard Way,"On your 6 - feet elevated like 6-inch hold - spell out the alphabet with your feet. All capital letters preferred.  After each letter is complete, perform a big boy sit-up."
816,Exicon,Alphabet (or ABCs),On your 6 - feet elevated like 6-inch hold - spell out the alphabet with your feet. All capital letters preferred.
817,Exicon,Alternating Shoulder Taps,"From the Merkin position, alternate touching your left hand to right shoulder and right hand to left shoulder. IC or OYO."
818,Exicon,Alternating Side Squats,"Start with feet together.  Step one leg out to the side and do a squat, returning legs together at the top.  Repeat on other side.  Usually done in slow cadence so 1 rep is a squat on each side."
819,Exicon,Amen Corner(s),"Amen Corner starts at the 11th green at Augusta National, encompasses the par 3 12th and par 5 13th along with the 14th tee box.  With this in mind, the Amen Corner(s) BD was born.  PAX should be instructed to perform the following exercises OYO, rifle carry your coupon to the next corner, run a lap [wherever possible], then plank for the 6:  American Hammers 11x alpha count w/coupon  Man Makers 12x  E2K 13x alpha count without coupon (cause that's hard to do with one)  Nancy Lopez 14x - at first this was named ""Nice, Reverse LBCs"" since I was missing a good ""N"" exercise to complete the ""AMEN"".   ""isn't there a famous golfer with a name that starts with ""N""?  YHC decided that reverse LBCs with a coupon are now named Nancy Lopez since that's the only time Nancy Lopez will be in Amen Corner (zing - and sincere apologies to the Lopez family as I'm sure they are all upstanding citizens).  We repeated this for all 4 Amen Corner(s)."
820,Exicon,American Hammer or Zelensky Twist,A more appropriate name for the former Russian Twist. Rocky did beat the Russian in the movie. Sounds tougher too...
821,Exicon,AMRAP,"As Many Reps As Possible, usually done with a timer or to failure."
822,Exicon,Angle Grinder,Starting in plank position angle your body up (pike position) while touching your hand to the opposite knee perform a merkin then touch the other knee and perform another merkin. This exercise is performed 8 count.   1. Touch knee 2. Return to plank 3. Down Merkin 4. Up Merkin 5. Touch opposite knee 6. Return To Plank 7. Down Merkin 8. Up Merkin
823,Exicon,Anglo Dragon,"The opposite of the Welsh Dragon.   Remain in crab position the whole time.  Crab walk forward 4 steps, do 1 dip, 1 crab jack and 1 crab cake each leg.  Repeat adding 1 rep to each exercise each time - crab walk forward 4 steps, do 2 dips, 2 crab jacks, 2 sets of crab cakes, etc.  Go until completing 10 reps of the exercises."
825,Exicon,Animal Style Squats,"This exercise instructs pax to get in the ""throw-up position"" (hands on knees), do a squat in that position, perform a burpee from there, then get back to throw up position to count for one squat. Q makes the call on time or repetitions."
826,Exicon,Apollo Creed Burpee,"Remember the scene from Rocky 3 with Apollo and Rocky doing one-armed push-ups? That's right, a one-armed Burpee!"
827,Exicon,Apolo Anton Oh No!,"A speed skater movement (full leg kick behind is encouraged) holding a rock and moving it side to side, done in cadence."
828,Exicon,Apolo Ohno,Speed Skater style side hops
829,Exicon,Apple Turnover,"Best done on a parking lot or a set of cones evenly placed in a row. PAX would do a bear crawl for a certain length, 3 Lines in a parking lot or to the first cone. PAX would then flip to the crab walk for a designated length, 3 more lines or to the 2nd cone, Back to the bear crawl for a distance, flip crab walk for a distance etc... Length is determined by the lines in the parking lot or how many cones the Q has. Great for slowing PAX down that likes to run. Q can make it a Hot Apple Turnover by adding Crawl Bear to the mix."
830,Exicon,ARod's,Combination of a JLo and a Pickle Pounder
831,Exicon,Around the World,"Start in the plank position. While your hands remain in the same spot walk your feet in a full circle all the way around your hands, always facing the same direction. Kind of like a break dance move. Each completed circle counts as one."
832,Exicon,Around-the-World,"Start out in the plank position. Walk your feet in a counterclockwise circle all the way around, breakdance style, till you end up back in the original plank position. Always face the same direction as you complete each circle."
833,Exicon,Ascending Curb Crawl,"Locate PAX on quite curbed street. Starting position Bear Crawl facing opposite curb. BC to other side, turn & place feet on curb to complete one Derkin, crawl back and complete two Derkins, continue to 13. Jack Webb's promiscuous cousin."
834,Exicon,Ascending Testicles,Cousin of Balls to the Wall. Start with feet on wall in 15 degree descending Merkin (Derkin) position. Do 10 Derkins then walk feet up wall to 45 degree Derkin position. 10 more Derkins then walk feet up wall to full Balls to the Wall pose. Can add 10 more Derkins here if you're tough enough. Or hold in BTTW pose.
835,Exicon,Ask-Kicking Burpee,"Burpee with a donkey (ass) kick.  Start in standing position, drop to do push up (first part of burpee), but when bringing feet back up to arms after push up, kick legs up in a donkey kick, then complete burpee by returning to your feet and add jump to complete burpee."
836,Exicon,Atlas Shrugged,"Pax pair up. One begins carrying the coupon overhead down the length of a football field (or similar). The second pax begins an exercise. Once that exercise is done, the 2nd pax runs to catch up with the first pax carrying the coupon. The 2nd pax takes the coupon, and the 1st pax drops to continue the exercise. The exercises are done collectively to reach a goal before proceeding to the next exercise. Example: merkins in sets of 10 to 100, squats in sets of 230 to 200, flutter kicks in sets of 30 to 300. Exercises may be substituted or changed accordingly to fit the group."
837,Exicon,ATMs,"All done in order, with no rest, without leaving plank position. Can be scaled using higher reps. 15 Alternating Shoulder Touches In Cadence (4-count), 10 Tempo Merkins (down on the 1-2-3, up on 4), 10 fast Merkins. That's 1 complete round."
838,Exicon,Aussie Burpees,"A groiner with a small hop. Popularized by the very-soon-to-be-eclipsed May 8, 2018 Guiness World Record holder for the most burpees done in 60 minutes by a female. ""According to the folks at Guinness World Records, the start position is with hands and feet on the ground in a plank; all Elizabeth Llorente, 37, had to do when she got to the jump position was remove her hands and feet from the ground. So the personal trainer gives a little froglike hop rather than standing up and doing a full jump with arms to the sky; she also skips the pushup element."" Can be substituted for 10 counts or stargazers when PAX could use a breather"
839,Exicon,Austin Ass-kickers,Same as Alabama Ass Kicker with one exception: if your left leg is extended also extend your right arm (and if your right leg is extended also extend your left arm).
840,Exicon,Australian Mountain Climber,"Get into the BTTW position and do a mountain climber, typically in cadence. Aka Aussie Mountain Climber"
841,Exicon,Australian Snow Angels,"Begin in the prone position like Superman. With arms and legs extended as far and as high as possible begin ""Snow Angel"" making motion in a 4 count cadence. A real crowd pleaser, especially in the rain."
842,Exicon,AYG,"All you got. Usually used for routines, runs or instead of moseying."
843,Exicon,B.O.M.B.S.,Similar to Dora 1-2-3 but more exercises. Partner up. Pax 1 does exercise while Pax 2 runs to the other end of the (insert your destination). Swap out and continue the exercise until each amount of reps are complete. The exercises and reps are: 50- Burpees / 100- Overhead Claps / 150- Merkins / 200- Big Boy Sit-ups / 250- Squats.
844,Exicon,Baba O'Riley,"Five minutes of Imperial Walkers set to the perfect five minute song, Baba O’Reilly by The Who. Increasing tempo for the final 30 seconds."
845,Exicon,Back Plank (aka Knalp),Same as plank except facing upwards with arms behind the body and on heels. (Knalp = plank spelled backwards)
846,Exicon,Ballerinas - Toe Squats,"In parallel, raise heels off the floor then slowly squat as low as you can (stop before any knee discomfort). With control, straighten the legs all the way back up to standing while balancing on the toes. Can be completed with arms straight out for balance or with hands clasped behind head. Best performed either in a slow cadence or OYO."
847,Exicon,Balls to the Wall,Aka BTTW. Standing upside down on your hands with your feet above your head facing any type of structure that will support your body. As close to the wall as you can as the name implies.
848,Exicon,Baryshnikov Squats,"Legs rotated out to the sides, hips opened, heels raised, then squat."
849,Exicon,Baryshnikovs,"4-count leg exercise, in which you lunge forward (1), hop straight up on opposite leg (2), lunge backward (3) and hop up straight again on opposite leg (4). Typically do set of, say, left-leg Baryshnikovs followed by set of right-leg Baryshnikovs."
850,Exicon,Base-Balls to the Wall,"Partners alternate trips around the bases with the non-running partner doing BTTW along the backstop, partners alternate after each lap and both complete each lap. There are four laps to be completed as follows: (Single) - Sprint to 1st base, 10 burpees, Bernie Sanders around the remaining bases to home/(Double) - Sprint to 2nd base, 20 squats, Bernie to home/(Triple) – Sprint to 3rd base, 30 merkins, Bernie home/(Home Run) – Sprint the full basepath, 40 LBC’s. Exercises can be your choice but should go up in count at each base."
851,Exicon,Bat Wings (aka the Martina Special),"Progression of arm exercises that are deceivingly difficult and named after Austin's bats. Start with 20 x Forward Arm Circles, hold, 20 x Backwards Arm Circles, hold, 20 x seal claps, hold, 20 x overhead claps. Everything is on a 4-count. Remember to enjoy the pain on the faces of your fellow men."
852,Exicon,Bataan Death Crawl,"A combination of Catch Me If You Can and a traditional Bear Crawl. The last person drops and does 5 Burpees, while the rest of the Pax Bear Crawl in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees, until the Q calls it or a certain distance has been reached."
853,Exicon,Bataan Death March,"AKA: Burpee Catch Me If You Can Indian Run...A combination of Catch Me If You Can and a traditional Indian Run. The last person drops and does 5 Burpees, while the rest of the Pax mosey in a line. After completing the Burpees, the last guy runs to catch the group, tapping the (new) last Pax on the shoulder, who then stops to begin his 5 Burpees, while the (former) last guy continues on to the front of the line. Continue until all Pax have performed a set of Burpees or until the Q calls it."
854,Exicon,Bay City Scissors,"Alternating scissor kicks done in an 8-count. On your back start with your legs at a 45-degree angle. Alternate legs for a vertical 4-count scissor; 1-right leg up/ left leg down, 2-left leg up/ right leg down, 3-right leg up/ left leg down, 4-left leg up/ right leg down. Counts 5-8 are parallel to the ground; 5- right leg over left leg, 6- left over right, 7-right over left, 8-left over right. That's ONE. A real crowd pleaser at the end of your AB workout."
855,Exicon,Bear Brawl,"Like a Football sled during two-a-days, Pax 1 assumes the Bear Crawl position while Pax 2 provides resistance to Pax 1's shoulders and resists their forward progress for a pre-determined distance. Then FlapJack. Another advantage of this exercise is that P2 can provide encouragement/motivation into P1's ear directly. MumbleChatter rises as resistance increases reciprocally. As developed in F3Nolensville."
856,Exicon,Bear Crawl,"Walk on ground with both hands and feet, like a bear."
857,Exicon,Bear Crawl 1-2-3,"Dora's obnoxious neighbor who throws wild parties all night long. Partner up, perform 100 Merkins, 200 LBCs, and 300 Squats as a team. While Partner 1 is doing the 1-2-3, Partner 2 Bear Crawls across a defined space (parking lot works great), and Crawl Bear back, then flip flop until all Merkins, LBCs, and Squats are complete."
858,Exicon,Bear Crawl 360,Perform Bear Crawl while rotating 360 degrees the entire time. Can be performed clockwise or counter-clockwise.
859,Exicon,Bear Crawl Burpees,"PAX start in upright position arms raised (Grizzly bear rarwr) drop in to burpee, at the top of the push up start bear crawling. Everytime you hear Grizzly, you hop back up, drop back down, push up and crawl again."
860,Exicon,Bear Crawl Inch Worm,PAX lines up head to to feet in plank position. The man in the back of the line bear crawls to front of the line and yells front and next man does the same thing until whole PAX has done it.
861,Exicon,Bear Crawl Indian Run,"Pax line up and SLOW Mosey, the leading PAX bear crawls as quickly as possible and falls in line back to a mosey then the new lead PAX bear crawls."
862,Exicon,Bear Crawl Merkin,4ct exercise. Start in bear crawl. 3 count crawl with the 4th being the merkin. Hands should be staggered during merkin and if done correctly will result in each hand being staggered forward on opposing reps.
863,Exicon,Bear Crawl Ring of Fire,"Combines exercises we have all come to love/hate. Circle up around shovel flag. Begin by bear crawling around in circle until Q says stop. Upon stopping, first Pax completes 10 merkins while other Pax plank, then next pax in line completes 10 merkins while other pax plank. Keep going around until all pax have completed the 10 merkins. The suck factor greatly increases the more pax you have (longer planks). Do as many rounds as time permits, or really until Q is smoked. Best when combined with a mucho chesto variation. 5 rounds of bear crawls in circle formation, 10x each of merkins, diamond merkins, werkins, stagger left merkin, and stagger right merkins. (ie Round 1 bear crawl in circle, Q halt, first pax does 10 merkins, pax plank until all pax have completed 10 merkins....begin bear crawling again for Round 2, Q halt, first pax does 10 diamond merkins, pax plank until all pax have com pleted 10 diamond merkins....etc.)"
864,Exicon,Bear Crawl Snake,"Similar to Bear Crawl Inch Worm, but adds a weave. PAX line up head to feet in plank position. The man at the back of the line, bear crawls to front of the line, weaving in and out of planking PAX and yells when at front. Next man does the same thing until all PAX have completed. Repeato as necessary."
865,Exicon,Bear Hold,"What happens when you combine a plank and bear crawl.... you get the Bear Hold. Its is the bear crawl position, but don't move. 4 points of contact, hands and toes. Knees should be slightly off the ground."
866,Exicon,Bearmuda Triangle,"3 markers ~30yds apart in shape of a triangle. Pax performs one burpee at first marker and bear crawls to 2nd marker, 2 burpees and bear crawl to 3rd marker, 3 burpees and bear crawl back to 1st marker. Rinse and Repeat x 3. Named Bearmuda Triangle as it has been known to mysteriously lose some pax along the way."
867,Exicon,Bearpees,"The Bearpees are long lost cousins to the Burpeedans and suck equally.  Line up across a field or parking lot. OYO 1 Burpee followed up by 4 count bearcrawl forward. Once PAX get to other side, rinse and repeat adding another Burpee, keeping the 1:4 ratio but only increasing the number of Burpees. This is best achieved when going past 4!"
868,Exicon,Bears & Blocks,"Get on all fours (like you are doing a bear crawl) with your Cinder Block on the grass between your knees or feet. Reach between your legs and pull the Block across the grass past your head. Now, bear crawl forward until the Block is between your feet again, and keep repeating across the length of the field."
869,Exicon,Bearway to Heaven,"A Bear Crawl suicide of seven increasing lengths with decreasing burpees at the end of each length. Ideally the lengths and number of burpees should be such that the entire exercise takes the full 8:01 time of ""Stairway to Heaven""."
870,Exicon,Beep Test/Highlander,"PAX run continuously between two points that are 20 meters apart from side to side. The runs are synchronized with a smart phone application that played beeps at set intervals. At the sound of a beep, the PAX run 20 meters before then next beep sounds As the test proceeds, the interval between each successive beep decreases, forcing the PAX to increase their speed over the course of the test, until it is impossible to keep in sync with the recording. Should the Pax fail to make the 20 meter distance prior to the sounding of the Beep, then the PAX are eliminated from the test. Any eliminated PAX do exercises previously designated by the “Q” until only 1 PAX remains doing the Bleep Test."
